Mod:Item:MetaData, Localized Name
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Hardened Clay
minecraft:stained_hardened_clay:1, Orange Hardened Clay
minecraft:stained_hardened_clay:2, Magenta Hardened Clay
minecraft:stained_hardened_clay:3, Light Blue Hardened Clay
minecraft:stained_hardened_clay:4, Yellow Hardened Clay
minecraft:stained_hardened_clay:5, Lime Hardened Clay
minecraft:stained_hardened_clay:6, Pink Hardened Clay
minecraft:stained_hardened_clay:7, Gray Hardened Clay
minecraft:stained_hardened_clay:8, Light Gray Hardened Clay
minecraft:stained_hardened_clay:9, Cyan Hardened Clay
minecraft:stained_hardened_clay:10, Purple Hardened Clay
minecraft:stained_hardened_clay:11, Blue Hardened Clay
minecraft:stained_hardened_clay:12, Brown Hardened Clay
minecraft:stained_hardened_clay:13, Green Hardened Clay
minecraft:stained_hardened_clay:14, Red Hardened Clay
minecraft:stained_hardened_clay:15, Black Hardened Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
minecraft:slime, Slime Block
minecraft:barrier, Barrier
minecraft:iron_trapdoor, Iron Trapdoor
minecraft:prismarine:0, Prismarine
minecraft:prismarine:1, Prismarine Bricks
minecraft:prismarine:2, Dark Prismarine
minecraft:sea_lantern, Sea Lantern
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
minecraft:red_sandstone:0, Red Sandstone
minecraft:red_sandstone:1, Chiseled Red Sandstone
minecraft:red_sandstone:2, Smooth Red Sandstone
minecraft:red_sandstone_stairs, Red Sandstone Stairs
minecraft:stone_slab2:0, Red Sandstone Slab
minecraft:spruce_fence_gate, Spruce Fence Gate
minecraft:birch_fence_gate, Birch Fence Gate
minecraft:jungle_fence_gate, Jungle Fence Gate
minecraft:dark_oak_fence_gate, Dark Oak Fence Gate
minecraft:acacia_fence_gate, Acacia Fence Gate
minecraft:spruce_fence, Spruce Fence
minecraft:birch_fence, Birch Fence
minecraft:jungle_fence, Jungle Fence
minecraft:dark_oak_fence, Dark Oak Fence
minecraft:acacia_fence, Acacia Fence
minecraft:end_rod, End Rod
minecraft:chorus_plant, Chorus Plant
minecraft:chorus_flower, Chorus Flower
minecraft:purpur_block, Purpur Block
minecraft:purpur_pillar, Purpur Pillar
minecraft:purpur_stairs, Purpur Stairs
minecraft:purpur_slab:0, Purpur Slab
minecraft:end_bricks, End Stone Bricks
minecraft:grass_path, Grass Path
minecraft:repeating_command_block, Repeating Command Block
minecraft:chain_command_block, Chain Command Block
minecraft:magma, Magma Block
minecraft:nether_wart_block, Nether Wart Block
minecraft:red_nether_brick, Red Nether Brick
minecraft:bone_block, Bone Block
minecraft:structure_void, Structure Void
minecraft:structure_block, Structure Block
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Oak Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Minecart with Chest
minecraft:furnace_minecart, Minecart with Furnace
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fish:0, Cooked Fish
minecraft:cooked_fish:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion, Potion
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg, Spawn
minecraft:experience_bottle, Bottle o' Enchanting
minecraft:fire_charge, Fire Charge
minecraft:writable_book, Book and Quill
minecraft:written_book, Written Book
minecraft:emerald, Emerald
minecraft:item_frame, Item Frame
minecraft:flower_pot, Flower Pot
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Poisonous Potato
minecraft:map, Empty Map
minecraft:golden_carrot, Golden Carrot
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:skull:5, Dragon Head
minecraft:carrot_on_a_stick, Carrot on a Stick
minecraft:nether_star, Nether Star
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Firework Rocket
minecraft:firework_charge, Firework Star
minecraft:enchanted_book, Enchanted Book
minecraft:comparator, Redstone Comparator
minecraft:netherbrick, Nether Brick
minecraft:quartz, Nether Quartz
minecraft:tnt_minecart, Minecart with TNT
minecraft:hopper_minecart, Minecart with Hopper
minecraft:prismarine_shard, Prismarine Shard
minecraft:prismarine_crystals, Prismarine Crystals
minecraft:rabbit, Raw Rabbit
minecraft:cooked_rabbit, Cooked Rabbit
minecraft:rabbit_stew, Rabbit Stew
minecraft:rabbit_foot, Rabbit's Foot
minecraft:rabbit_hide, Rabbit Hide
minecraft:armor_stand, Armor Stand
minecraft:iron_horse_armor, Iron Horse Armor
minecraft:golden_horse_armor, Gold Horse Armor
minecraft:diamond_horse_armor, Diamond Horse Armor
minecraft:lead, Lead
minecraft:name_tag, Name Tag
minecraft:command_block_minecart, Minecart with Command Block
minecraft:mutton, Raw Mutton
minecraft:cooked_mutton, Cooked Mutton
minecraft:banner:15, White Banner
minecraft:banner:14, Orange Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Light Blue Banner
minecraft:banner:11, Yellow Banner
minecraft:banner:10, Lime Banner
minecraft:banner:9, Pink Banner
minecraft:banner:8, Gray Banner
minecraft:banner:7, Light Gray Banner
minecraft:banner:6, Cyan Banner
minecraft:banner:5, Purple Banner
minecraft:banner:4, Blue Banner
minecraft:banner:3, Brown Banner
minecraft:banner:2, Green Banner
minecraft:banner:1, Red Banner
minecraft:banner:0, Black Banner
minecraft:end_crystal, End Crystal
minecraft:spruce_door, Spruce Door
minecraft:birch_door, Birch Door
minecraft:jungle_door, Jungle Door
minecraft:acacia_door, Acacia Door
minecraft:dark_oak_door, Dark Oak Door
minecraft:chorus_fruit, Chorus Fruit
minecraft:chorus_fruit_popped, Popped Chorus Fruit
minecraft:beetroot, Beetroot
minecraft:beetroot_seeds, Beetroot Seeds
minecraft:beetroot_soup, Beetroot Soup
minecraft:dragon_breath, Dragon's Breath
minecraft:splash_potion, item.splash_potion.name
minecraft:spectral_arrow, Spectral Arrow
minecraft:tipped_arrow, Tipped Arrow
minecraft:lingering_potion, item.lingering_potion.name
minecraft:shield, Shield
minecraft:elytra, Elytra
minecraft:spruce_boat, Spruce Boat
minecraft:birch_boat, Birch Boat
minecraft:jungle_boat, Jungle Boat
minecraft:acacia_boat, Acacia Boat
minecraft:dark_oak_boat, Dark Oak Boat
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
forge:bucketFilled, %s Bucket
abyssalcraft:darkstone, Darkstone
abyssalcraft:darkstone_cobble, Darkstone Cobblestone
abyssalcraft:darkstone_brick:0, Darkstone Bricks
abyssalcraft:darkstone_brick:1, Chiseled Darkstone Bricks
abyssalcraft:darkstone_brick:2, Cracked Darkstone Bricks
abyssalcraft:dsglow, Glowing Darkstone Bricks
abyssalcraft:darkbrickslab1:0, Darkstone Brick Slab
abyssalcraft:darkbrickslab2:0, Darkstone Brick Slab
abyssalcraft:darkcobbleslab1:0, Darkstone Cobblestone Slab
abyssalcraft:darkcobbleslab2:0, Darkstone Cobblestone Slab
abyssalcraft:darkgrass, Darklands Grass
abyssalcraft:dbstairs, Darkstone Brick Stairs
abyssalcraft:dcstairs, Darkstone Cobblestone Stairs
abyssalcraft:dltleaves, Darklands Oak Leaves
abyssalcraft:dltlog, Darklands Oak Wood
abyssalcraft:dltsapling, Darklands Oak Sapling
abyssalcraft:abystone, Abyssal Stone
abyssalcraft:abybrick:0, §9Abyssal Stone Bricks
abyssalcraft:abybrick:1, §9Chiseled Abyssal Stone Bricks
abyssalcraft:abybrick:2, §9Cracked Abyssal Stone Bricks
abyssalcraft:abyslab1:0, §9Abyssal Stone Brick Slab
abyssalcraft:abyslab2:0, §9Abyssal Stone Brick Slab
abyssalcraft:abystairs, Abyssal Stone Brick Stairs
abyssalcraft:coraliumore, Coralium Ore
abyssalcraft:abyore, Abyssalnite Ore
abyssalcraft:abyfence, Abyssal Stone Brick Fence
abyssalcraft:dscwall, Darkstone Cobblestone Wall
abyssalcraft:odb, Oblivion Deathbomb
abyssalcraft:abyblock, Block of Abyssalnite
abyssalcraft:coraliumstone, Coralium Infused Stone
abyssalcraft:odbcore, ODB Core
abyssalcraft:crate, Wooden Crate
abyssalcraft:abyportal, Abyssal Gateway
abyssalcraft:darkstoneslab1:0, Darkstone Slab
abyssalcraft:darkstoneslab2:0, Darkstone Slab
abyssalcraft:coraliumfire, Coralium Fire
abyssalcraft:dsbutton, Darkstone Button
abyssalcraft:dspplate, Darkstone Pressure Plate
abyssalcraft:dltplank, Darklands Oak Wood Planks
abyssalcraft:dltbutton, Darklands Oak Wood Button
abyssalcraft:dltpplate, Darklands Oak Wood Pressure Plate
abyssalcraft:dltstairs, Darklands Oak Wood Stairs
abyssalcraft:dltslab1:0, Darklands Oak Wood Slab
abyssalcraft:dltslab2:0, Darklands Oak Wood Slab
abyssalcraft:cwater, Liquid Coralium
abyssalcraft:corblock, Block of Refined Coralium
abyssalcraft:psdl, Dreadlands Infused Powerstone
abyssalcraft:abycorore, Abyssal Coralium Ore
abyssalcraft:altar, Altar
abyssalcraft:abybutton, Abyssal Stone Button
abyssalcraft:abypplate, Abyssal Stone Pressure Plate
abyssalcraft:dsbfence, Darkstone Brick Fence
abyssalcraft:dltfence, Darklands Oak Wood Fence
abyssalcraft:dreadstone, Dreadstone
abyssalcraft:abydreadstone, Abyssalnite Stone
abyssalcraft:abydreadore, Dreadlands Abyssalnite Ore
abyssalcraft:dreadore, Dreaded Abyssalnite Ore
abyssalcraft:dreadbrick:0, Dreadstone Bricks
abyssalcraft:dreadbrick:1, Chiseled Dreadstone Bricks
abyssalcraft:dreadbrick:2, Cracked Dreadstone Bricks
abyssalcraft:abydreadbrick:0, Abyssalnite Stone Bricks
abyssalcraft:abydreadbrick:1, Chiseled Abyssalnite Stone Bricks
abyssalcraft:abydreadbrick:2, Cracked Abyssalnite Stone Bricks
abyssalcraft:dreadgrass, Dreadlands Grass
abyssalcraft:dreadlog, Dreadlands Wood Log
abyssalcraft:dreadleaves, Dreadlands Wood Leaves
abyssalcraft:dreadsapling, Dreadlands Wood Sapling
abyssalcraft:dreadplanks, Dreadlands Wood Planks
abyssalcraft:dreadportal, Dreadlands Gateway
abyssalcraft:dreadfire, Dreaded Fire
abyssalcraft:dghead, Depths Ghoul head
abyssalcraft:phead, Pete's head
abyssalcraft:whead, Mr. Wilson's head
abyssalcraft:ohead, Dr. Orange's head
abyssalcraft:dreadbrickstairs, Dreadstone Brick Stairs
abyssalcraft:dreadbrickfence, Dreadstone Brick Fence
abyssalcraft:dreadbrickslab1:0, Dreadstone Brick Slab
abyssalcraft:dreadbrickslab2:0, Dreadstone Brick Slab
abyssalcraft:abydreadbrickstairs, Abyssalnite Stone Brick Stairs
abyssalcraft:abydreadbrickfence, Abyssalnite Stone Brick Fence
abyssalcraft:abydreadbrickslab1:0, Abyssalnite Stone Brick Slab
abyssalcraft:abydreadbrickslab2:0, Abyssalnite Stone Brick Slab
abyssalcraft:antiwater, Liquid Antimatter
abyssalcraft:cstone, Coralium Stone
abyssalcraft:cstonebrick:0, Coralium Brick
abyssalcraft:cstonebrick:1, Chiseled Coralium Brick
abyssalcraft:cstonebrick:2, Cracked Coralium Brick
abyssalcraft:cstonebrickfence, Coralium Brick Fence
abyssalcraft:cstonebrickslab1:0, Coralium Brick Slab
abyssalcraft:cstonebrickslab2:0, Coralium Brick Slab
abyssalcraft:cstonebrickstairs, Coralium Brick Stairs
abyssalcraft:cstonebutton, Coralium Stone Button
abyssalcraft:cstonepplate, Coralium Stone Pressure Plate
abyssalcraft:dreadaltartop, Altar of Cha'garoth (top)
abyssalcraft:dreadaltarbottom, Altar of Cha'garoth (bottom)
abyssalcraft:crystallizer, Crystallizer
abyssalcraft:crystallizer_on, tile.crystallizer_on.name
abyssalcraft:dreadiumblock, Block of Dreadium
abyssalcraft:transmutator, Transmutator
abyssalcraft:transmutator_on, tile.transmutator_on.name
abyssalcraft:dreadguardspawner, Dreadguard Spawner Block
abyssalcraft:chagarothspawner, Cha'garoth Spawner Block
abyssalcraft:drtfence, Dreadlands Wood Fence
abyssalcraft:nitreore, Nitre Ore
abyssalcraft:abyiroore, Abyssal Iron Ore
abyssalcraft:abygolore, Abyssal Gold Ore
abyssalcraft:abydiaore, Abyssal Diamond Ore
abyssalcraft:abynitore, Abyssal Nitre Ore
abyssalcraft:abytinore, Abyssal Tin Ore
